"Location Name","Location ID","Comments within last month / comments last recorded","Registered manager","Location UPRN","Location telephone number","Location Web Address","Location Local Authority","Location ADASS Region","Primary inspection category","Service Types","Care homes beds","Location HSCA start date","Location HSCA end date","Dormant","Location Latest Overall Rating","Publication Date","Service users supported","Size of care home (bands by number of beds)","Location length of service (bands by number of years)","Location safe rating","Location effective rating","Location caring rating","Location responsive rating","Location well-led rating","Provider Name","Provider ID","Provider HSCA start date","Provider length of service (bands by number of years)","Provider Ownership Type","Provider Companies House Number","Provider characteristic - number of locations","Provider characteristic - national group size (based on locations)","Provider characteristic - number of beds","Provider characteristic - share of beds (nationally)","Provider characteristic - number of local authority areas where it has locations","Provider characteristic - % of local authority areas where it has locations","Brand Name","Brand ID","Brand characteristic - number of locations","Brand characteristic -national group size (based on locations)","Brand characteristic - number of beds","Brand characteristic - share of beds (nationally)","Brand characteristic - % of local authority areas where it has locations","Brand characteristic - number of local authority areas where it has locations"
"362 Park Road","1-2253584724","","","100030457198","01163669655","www.freedomcare.org","Leicestershire","East Midlands (ADASS Region)","Residential social care","Care home service without nursing","1","2015-10-13","","N","Good","10/13/2015 12:00:00 AM","Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Freedom Care Limited","1-101606617","10/1/2010 12:00:00 AM","15","Organisation","04404828","7","6 - 10 locations","28","0","3","2.00%","BRAND Charing Healthcare","BD528","26","21 - 50 locations","56","0.01","15","10.00%"
"365 Care Services","1-22156847337","","Mugarapanyama, Maria, Mrs","","","","Bury","North West (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2025-05-01","","N","","5/1/2025 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Mental health conditions, Physical disabilities, Sensory impairment","","","","","","","","365 Care Services LTD","1-21256578510","5/1/2025 12:00:00 AM","0","Organisation","14029702","1","1 location","0","0","1","1.00%","","","","","","0","",""
"365 Care Solutions Ltd","1-11210283645","","","10094941448","02083168994","","Hounslow","Greater London (ADASS Region)","Community based adult social care services","Supported living service","0","2021-07-19","","N","Good","7/19/2021 12:00:00 AM","Caring for adults under 65 yrs, Caring for children, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities, Sensory impairment","","More than 3 years but less than 5 years","Good","Good","Good","Good","Good","365 Care Solutions Limited","1-10351961515","7/19/2021 12:00:00 AM","4","Organisation","10228498","1","1 location","0","0","1","1.00%","","","","","","0","",""
"365 Divine Care","1-6065189319","","Dumbuya, Michael Simah, Mr","100021895950","02033024303","www.365divinecare.co.uk","Lambeth","Greater London (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2019-03-06","","N","Good","3/6/2019 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Caring for children, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities","","More than 5 years but less than 8 years","Good","Good","Good","Good","Good","365 Divine Care LTD","1-6031902141","3/6/2019 12:00:00 AM","6","Organisation","11525575","1","1 location","0","0","1","1.00%","","","","","","0","",""
"365 support services","1-3075600129","","Deary, Alexandra Victoria, Mrs","38803981","01704620345","www.365support.org","Sefton","North West (ADASS Region)","Community based adult social care services","Domiciliary care service, Supported living service","0","2016-11-16","","N","Good","11/16/2016 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities","","More than 8 years","Good","Good","Good","Good","Requires improvement","365 Support Limited","1-1219254702","3/28/2014 12:00:00 AM","11","Organisation","08741470","2","2 - 5 locations","0","0","1","1.00%","","","","","","0","",""
"365Medicare","1-19833131459","","Iqbal, Ghazala, Mrs","10091985856","01617911542","","Leicester","East Midlands (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2024-09-13","","Y","","9/13/2024 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Sensory impairment","","More than 1 year but less than 3 years","","","","","","Fanco Ltd","1-5104896690","7/13/2018 12:00:00 AM","7","Organisation","11116866","3","2 - 5 locations","0","0","3","2.00%","","","","","","0","",""
"365Medicare Tameside","1-5257076134","","Iqbal, Ghazala, Mrs","10091881079","01617911542","www.avanthealth.co.uk/manchestersouth","Tameside","North West (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2018-07-13","","N","Good","7/13/2018 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder, Sensory impairment","","More than 5 years but less than 8 years","Good","Good","Good","Good","Good","Fanco Ltd","1-5104896690","7/13/2018 12:00:00 AM","7","Organisation","11116866","3","2 - 5 locations","0","0","3","2.00%","","","","","","0","",""
"367 Thornaby Road","RX3LD","","Peggs, Allison Louise, Ms","100110203471","01642892003","www.tewv.nhs.uk","Stockton-on-Tees","North East (ADASS Region)","Residential social care","Care home service with nursing","5","2010-06-17","","N","Good","6/17/2010 12:00:00 AM","Caring for adults under 65 yrs, Caring for people whose rights are restricted under the Mental Health Act, Learning Disabilities or autistic spectrum disorder, Mental health conditions","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Tees, Esk and Wear Valleys NHS Foundation Trust","RX3","4/1/2010 12:00:00 AM","15","NHS Body","","5","2 - 5 locations","14","0","3","2.00%","NHS England North (Cumbria and North East)","Q74","51","More than 50 locations","157","0.02","9","6.00%"
"36a Birling Avenue","1-152868472","","Warner, Angela, Mrs","100061246354","","","Medway","South East (ADASS Region)","Residential social care","Care home service without nursing","7","2011-01-27","","N","Good","1/27/2011 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Caring for children, Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Medway Council","1-101668621","1/27/2011 12:00:00 AM","15","Organisation","","8","6 - 10 locations","145","0.02","1","1.00%","","","","","","0","",""
"37 Coleraine Road","1-246078383","","Shields, Amanda Rose, Mrs","100021166423","02088884348","www.unifiedcare.co.uk/37-coleraine-road","Haringey","Greater London (ADASS Region)","Residential social care","Care home service without nursing, Domiciliary care service, Supported living service","4","2011-05-13","","N","Good","5/13/2011 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Mental health conditions","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Unified Care Limited","1-144522144","5/13/2011 12:00:00 AM","14","Organisation","07335219","3","2 - 5 locations","31","0","2","1.00%","","","","","","0","",""
"37 Lewes Road","1-9655801880","","Coleman-Powney, Mark, Mr","","01323645047","www.achievetogether.co.uk","East Sussex","South East (ADASS Region)","Community based adult social care services","Supported living service","0","2021-03-19","","N","Good","3/19/2021 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","","More than 3 years but less than 5 years","Good","Good","Good","Good","Good","Achieve Together Limited","1-116992858","10/1/2010 12:00:00 AM","15","Organisation","03153442","266","More than 50 locations","1436","0.16","65","42.00%","BRAND Achieve Together","BD519","506","More than 50 locations","2573","0.29","76","49.00%"
"374 St Helier Avenue","1-9655829638","","Palmera, Rulielan Masanguid, Mr","5870054737","02086480661","www.achievetogether.co.uk","Sutton","Greater London (ADASS Region)","Residential social care","Care home service without nursing","8","2020-12-01","","N","Good","12/1/2020 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 5 years but less than 8 years","Good","Good","Good","Good","Good","Achieve Together Limited","1-116992858","10/1/2010 12:00:00 AM","15","Organisation","03153442","266","More than 50 locations","1436","0.16","65","42.00%","BRAND Achieve Together","BD519","506","More than 50 locations","2573","0.29","76","49.00%"
"38 London Road","1-16437838209","","","100090763064","","","Thurrock","East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2023-07-25","","N","","7/25/2023 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Physical disabilities, Sensory impairment","","More than 1 year but less than 3 years","","","","","","Channel Home Care LTD","1-15756326445","7/25/2023 12:00:00 AM","2","Organisation","14511117","1","1 location","0","0","1","1.00%","","","","","","0","",""
"38 Prince of Wales Road","1-21719002168","","Ntabeni, Runyararo Marge, Mrs","10093501141","","","Norfolk","East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2025-02-11","","N","","2/11/2025 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs","","More than 1 year but less than 3 years","","","","","","Tera Healthcare Ltd","1-17131407980","2/11/2025 12:00:00 AM","1","Organisation","14559373","1","1 location","0","0","1","1.00%","","","","","","0","",""
"38 Torrin Drive","1-465648633","","Whitaker, David Thomas, Mr","100070059283","01743455252","","Shropshire","West Midlands (ADASS Region)","Residential social care","Care home service without nursing","5","2012-08-24","","N","Good","8/24/2012 12:00:00 AM","Learning Disabilities or autistic spectrum disorder, Physical disabilities, Sensory impairment","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Condover College Limited","1-101672399","10/1/2010 12:00:00 AM","15","Organisation","IP29768R","17","11 - 20 locations","127","0.01","1","1.00%","","","","","","0","",""
"39 Carnation Road","1-9152295563","","Chikwama, Rickson, Mr","10093363699","07575714245","","Leicestershire","East Midlands (ADASS Region)","Community based adult social care services","Domiciliary care service, Supported living service","0","2020-07-01","","N","Good","7/1/2020 12:00:00 AM","Caring for adults under 65 yrs, Caring for people whose rights are restricted under the Mental Health Act, Mental health conditions, Substance misuse problems","","More than 5 years but less than 8 years","Good","Good","Good","Good","Good","Ridge View Supported Living Limited","1-8319623954","7/1/2020 12:00:00 AM","5","Organisation","12132927","1","1 location","0","0","1","1.00%","","","","","","0","",""
"39 Hawthorne Grove","1-129459655","","Williams, Andrew Anthony, Mr","100121089105","01225767441","www.voyagecare.com","Wiltshire","South West (ADASS Region)","Residential social care","Care home service without nursing","3","2010-12-20","","N","Good","12/20/2010 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Physical disabilities, Sensory impairment","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Voyage 1 Limited","1-102643122","10/1/2010 12:00:00 AM","15","Organisation","02215899","435","More than 50 locations","2569","0.29","102","66.00%","BRAND Voyage","BD226","704","More than 50 locations","4507","0.5","104","67.00%"
"39 School Lane","1-9218680669","","Taylor, Gary, Mr","100071519575","02476644518","www.dignushealthcare.com","Warwickshire","West Midlands (ADASS Region)","Residential social care","Care home service without nursing","8","2020-08-05","","N","Good","8/5/2020 12:00:00 AM","Caring for adults under 65 yrs, Mental health conditions","1-9 beds","More than 5 years but less than 8 years","Good","Good","Good","Good","Good","Dignus Healthcare Limited","1-101691551","10/1/2010 12:00:00 AM","15","Organisation","05940625","16","11 - 20 locations","86","0.01","8","5.00%","","","","","","0","",""
"39 Wick Farm Road","1-126641086","","Smither, Kathleen, Mrs","100090568226","01621778874","","Essex","East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2011-01-10","","N","Good","1/10/2011 12:00:00 AM","Caring for adults over 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder, Physical disabilities","","More than 8 years","Good","Good","Good","Good","Good","Nightingales Services Limited","1-101674429","10/1/2010 12:00:00 AM","15","Organisation","04644496","1","1 location","0","0","1","1.00%","","","","","","0","",""
"39, Lansdowne Road","1-14956917502","","Sandhu, Sangeeta, Mrs","100110120093","07400380803","www.lifeaidplus.co.uk","Middlesbrough","North East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2023-02-06","","N","","2/6/2023 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Physical disabilities, Sensory impairment","","More than 3 years but less than 5 years","","","","","","LifeAid Plus Healthcare Ltd","1-14595293176","2/6/2023 12:00:00 AM","3","Organisation","14435500","1","1 location","0","0","1","1.00%","","","","","","0","",""
"39a Castle Road","1-8461807472","","Kendall, Adam, Mr","100110697534","07940121132","","Westmorland and Furness","North West (ADASS Region)","Residential social care","Care home service without nursing","1","2020-02-28","","N","Good","2/28/2020 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Mental health conditions","1-9 beds","More than 5 years but less than 8 years","Good","Good","Good","Good","Good","Elysium Healthcare (Ann House) Limited","1-1207166730","4/14/2014 12:00:00 AM","11","Organisation","08624668","4","2 - 5 locations","23","0","1","1.00%","BRAND Elysium Healthcare","BD482","52","More than 50 locations","898","0.1","33","21.00%"
"3a The Droveway","1-9736363421","","Ncube, Sanele, Mrs","22237943","01273541229","www.achievetogether.co.uk","Brighton and Hove","South East (ADASS Region)","Residential social care","Care home service without nursing","3","2021-04-08","","N","Good","4/8/2021 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 3 years but less than 5 years","Good","Good","Good","Good","Good","Achieve Together Limited","1-116992858","10/1/2010 12:00:00 AM","15","Organisation","03153442","266","More than 50 locations","1436","0.16","65","42.00%","BRAND Achieve Together","BD519","506","More than 50 locations","2573","0.29","76","49.00%"
"3Belle.Ami Health","1-18175091537","","Maforimbo, Todd, Mr","10091893927","01217174741","www.3belleamihealth.co.uk","Solihull","West Midlands (ADASS Region)","Community based adult social care services","Domiciliary care service, Supported living service","0","2023-11-28","","N","","11/28/2023 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Mental health conditions","","More than 1 year but less than 3 years","","","","","","3Belle.Ami Health Limited","1-15179007598","11/28/2023 12:00:00 AM","2","Organisation","11143635","1","1 location","0","0","1","1.00%","","","","","","0","",""
"3BN CARE LTD","1-13259187132","","Mudenda, Noah, Mr","37222965","","","North Northamptonshire","East Midlands (ADASS Region)","Community based adult social care services","Domiciliary care service, Supported living service","0","2022-05-30","","N","Good","5/30/2022 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Caring for children, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions","","More than 3 years but less than 5 years","Good","Good","Good","Good","Good","3BN CARE LTD","1-11686445161","5/30/2022 12:00:00 AM","3","Organisation","13593385","2","2 - 5 locations","0","0","2","1.00%","","","","","","0","",""
"3D Care Solutions","1-16602666206","","Agyarkkoh, Christabel Agyeiwaah, Ms","100023551935","02085589835","www.3dcaresolutions.co.uk","Haringey","Greater London (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2023-11-03","","N","","11/3/2023 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs","","More than 1 year but less than 3 years","","","","","","3D Info Solutions Ltd","1-14961071983","11/3/2023 12:00:00 AM","2","Organisation","09375198","1","1 location","0","0","1","1.00%","","","","","","0","",""
"3D Healthcare Solutions Limited","1-3844276590","","Ndemo, Jane Pamela, Mrs","100070599118","01212203184","www.3dhealthcaresolutions.co.uk","Birmingham","West Midlands (ADASS Region)","Community based adult social care services","Domiciliary care service, Supported living service","0","2017-05-29","","N","Good","5/29/2017 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities","","More than 8 years","Good","Good","Good","Good","Good","3D Healthcare Solutions Limited","1-3723651868","5/29/2017 12:00:00 AM","8","Organisation","9456485","2","2 - 5 locations","0","0","2","1.00%","","","","","","0","",""
"3D'S Healthcare Services Limited","1-3801799507","","Babafemi, Olusola Bukola, Mrs","10001043266","07484760535","www.3dshealthcareservices.co.uk","Thurrock","East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2017-05-09","","N","Good","5/9/2017 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Caring for children, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities","","More than 8 years","Good","Good","Good","Good","Good","3D'S Healthcare Services Limited","1-2708322076","5/9/2017 12:00:00 AM","8","Organisation","09979602","1","1 location","0","0","1","1.00%","","","","","","0","",""
"3HA Care Services","1-2370329125","","Agoro, Akintayo Olabosipo, Mr","10034898800","01376440002","","Essex","East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2015-12-30","","N","Good","12/30/2015 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder, Mental health conditions, Physical disabilities, Sensory impairment, Substance misuse problems","","More than 8 years","Good","Good","Good","Good","Good","3HA Limited","1-2269202047","12/30/2015 12:00:00 AM","10","Organisation","08383683","1","1 location","0","0","1","1.00%","","","","","","0","",""
"3HUB Limited","1-18885556137","","","22171147","01243769081","www.threehub.co.uk","Brighton and Hove","South East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2024-03-21","","N","","3/21/2024 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Caring for children, Physical disabilities","","More than 1 year but less than 3 years","","","","","","3HUB Limited","1-17576663028","3/21/2024 12:00:00 AM","1","Organisation","10952834","1","1 location","0","0","1","1.00%","","","","","","0","",""
"3L Care - Atherton","1-4094343611","","Kirkpatrick, Sian Marie, Mrs","100012498383","01942597270","","Wigan","North West (ADASS Region)","Residential social care","Care home service with nursing","9","2017-07-27","","N","Good","7/27/2017 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Caring for children, Learning Disabilities or autistic spectrum disorder, Physical disabilities","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","3L Care Limited","1-279547535","10/7/2011 12:00:00 AM","14","Organisation","07174346","3","2 - 5 locations","25","0","2","1.00%","","","","","","0","",""
"3L Care Limited","1-300095509","","","10014513822","01606215395","","Cheshire West and Chester","North West (ADASS Region)","Residential social care","Care home service with nursing","10","2011-10-07","","N","Good","10/7/2011 12:00:00 AM","Caring for adults under 65 yrs, Physical disabilities","10-24 beds","More than 8 years","Requires improvement","Good","Good","Good","Good","3L Care Limited","1-279547535","10/7/2011 12:00:00 AM","14","Organisation","07174346","3","2 - 5 locations","25","0","2","1.00%","","","","","","0","",""
"3L Care Limited","1-1790631095","","","10011720852","01606215315","","Cheshire West and Chester","North West (ADASS Region)","Residential social care","Care home service with nursing","6","2014-11-26","","N","Good","11/26/2014 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Physical disabilities, Sensory impairment","1-9 beds","More than 8 years","Good","Outstanding","Good","Good","Good","3L Care Limited","1-279547535","10/7/2011 12:00:00 AM","14","Organisation","07174346","3","2 - 5 locations","25","0","2","1.00%","","","","","","0","",""
"3LS Care Ltd","1-10633413905","","Madiri, Lisa Enpher, Miss","100031464","","","Barking and Dagenham","Greater London (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2021-03-31","","N","","3/31/2021 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder, Physical disabilities","","More than 3 years but less than 5 years","","","","","","3LS Care LTD","1-9755018701","3/31/2021 12:00:00 AM","4","Organisation","11135510","1","1 location","0","0","1","1.00%","","","","","","0","",""
"4 Billing Road","1-22152314065","","Nyoni, Thabani, Mr","","","","West Northamptonshire","East Midlands (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2025-04-08","","Y","","4/8/2025 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs","","","","","","","","Home Help Care Limited","1-9920701155","4/8/2025 12:00:00 AM","0","Organisation","12412641","1","1 location","0","0","1","1.00%","","","","","","0","",""
"4 Box Crescent","1-7613377129","","Trevains, Joanne, Ms","100120513862","01453835023","","Gloucestershire","South West (ADASS Region)","Residential social care","Care home service without nursing","2","2019-10-17","","N","Good","10/17/2019 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 5 years but less than 8 years","Good","Good","Good","Good","Good","Gloucestershire Group Homes Limited","1-101664616","10/1/2010 12:00:00 AM","15","Organisation","02856210","7","6 - 10 locations","23","0","1","1.00%","","","","","","0","",""
"4 Care Services Limited","1-14548367100","","Mashingaidze, Silent, Mr","83187184","","","Kirklees","Yorkshire and Humber (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2023-01-11","","N","","1/11/2023 12:00:00 AM","Dementia, Physical disabilities, Sensory impairment","","More than 3 years but less than 5 years","","","","","","4 Care Services Limited","1-14237168208","1/11/2023 12:00:00 AM","3","Organisation","14227867","1","1 location","0","0","1","1.00%","","","","","","0","",""
"4 Commonwealth House","1-4125227967","","Adebusoye, Oluwabukola Josephine, Mrs","","01375508066","www.bscaremanagement.co.uk","Thurrock","East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2017-08-02","","N","Good","8/2/2017 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder, Physical disabilities","","More than 8 years","Good","Good","Good","Good","Good","BS Care Management Services Ltd","1-3704846506","8/2/2017 12:00:00 AM","8","Organisation","10658743","2","2 - 5 locations","0","0","2","1.00%","","","","","","0","",""
"4 Cottage Walk","1-9642538112","","Mason, Luciana Frances, Miss","100090601513","01255474010","www.achievetogether.co.uk","Essex","East (ADASS Region)","Residential social care","Care home service without nursing","6","2020-12-01","","N","Good","12/1/2020 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Physical disabilities","1-9 beds","More than 5 years but less than 8 years","Good","Good","Good","Good","Good","Achieve Together Limited","1-116992858","10/1/2010 12:00:00 AM","15","Organisation","03153442","266","More than 50 locations","1436","0.16","65","42.00%","BRAND Achieve Together","BD519","506","More than 50 locations","2573","0.29","76","49.00%"
"4 Cronulla Drive","1-14220825796","","Prescott, Nicola, Mrs","100010274976","01925202380","www.catalystchoices.org.uk","Warrington","North West (ADASS Region)","Residential social care","Care home service without nursing","5","2022-10-25","","N","","10/25/2022 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Physical disabilities","1-9 beds","More than 3 years but less than 5 years","","","","","","Catalyst Choices Community Interest Company","1-1839748163","3/2/2015 12:00:00 AM","10","Organisation","09353634","9","6 - 10 locations","122","0.01","2","1.00%","","","","","","0","",""
"4 Futures","1-2731684789","","","13304331","07809631802","","North Northamptonshire","East Midlands (ADASS Region)","Community based adult social care services","Domiciliary care service, Supported living service","0","2016-06-27","","N","Good","6/27/2016 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","","More than 8 years","Good","Good","Good","Good","Good","Mrs Charlotte Pow","1-2695089248","6/27/2016 12:00:00 AM","9","Individual","","1","1 location","0","0","1","1.00%","","","","","","0","",""
"4 Hermitage Lane","1-129459702","","Dougherty, Sophie Louise, Mrs","100121137141","01793727790","www.voyagecare.com","Swindon","South West (ADASS Region)","Residential social care","Care home service without nursing","6","2010-12-20","","N","Good","12/20/2010 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Voyage 1 Limited","1-102643122","10/1/2010 12:00:00 AM","15","Organisation","02215899","435","More than 50 locations","2569","0.29","102","66.00%","BRAND Voyage","BD226","704","More than 50 locations","4507","0.5","104","67.00%"
"4 Mill Road","1-115733228","","","100060014565","01323725825","www.eastbournemencap.org.uk","East Sussex","South East (ADASS Region)","Residential social care","Care home service without nursing","10","2011-01-04","","N","Good","1/4/2011 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","10-24 beds","More than 8 years","Good","Good","Good","Good","Requires improvement","Eastbourne & District Mencap Limited","1-101640079","10/1/2010 12:00:00 AM","15","Organisation","06182982","3","2 - 5 locations","30","0","1","1.00%","","","","","","0","",""
"4 Old Barn Close","1-126464913","","Hull, Fiona, Miss","766240297","01280821006","www.hpcha.org.uk","Buckinghamshire","South East (ADASS Region)","Residential social care","Care home service without nursing","4","2011-01-10","","N","Good","1/10/2011 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Physical disabilities","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Hightown Housing Association Limited","1-101676864","10/1/2010 12:00:00 AM","15","Organisation","IP18077R","23","21 - 50 locations","143","0.02","2","1.00%","","","","","","0","",""
"4 Pages Orchard","1-13421360528","","Milligan, Stacey Michelle, Miss","09455225","01189722928","www.voyagecare.com","Oxfordshire","South East (ADASS Region)","Residential social care","Care home service without nursing","3","2022-09-06","","N","Outstanding","9/6/2022 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","1-9 beds","More than 3 years but less than 5 years","Good","Good","Outstanding","Outstanding","Outstanding","Voyage 1 Limited","1-102643122","10/1/2010 12:00:00 AM","15","Organisation","02215899","435","More than 50 locations","2569","0.29","102","66.00%","BRAND Voyage","BD226","704","More than 50 locations","4507","0.5","104","67.00%"
"4 Trinity Court","1-126470015","","Bradford, Pauline Denise, Mrs","","01296486444","www.hpcha.org.uk","Buckinghamshire","South East (ADASS Region)","Residential social care","Care home service without nursing","6","2011-01-10","","N","Good","1/10/2011 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Learning Disabilities or autistic spectrum disorder, Physical disabilities","1-9 beds","More than 8 years","Good","Good","Good","Good","Good","Hightown Housing Association Limited","1-101676864","10/1/2010 12:00:00 AM","15","Organisation","IP18077R","23","21 - 50 locations","143","0.02","2","1.00%","","","","","","0","",""
"4 Vallance Gardens","1-9655829687","","Harding, Ewelina Magdalena, Mrs","22021266","01273749626","www.achievetogether.co.uk","Brighton and Hove","South East (ADASS Region)","Residential social care","Care home service without nursing","7","2020-12-01","","N","Good","12/1/2020 12:00:00 AM","Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder, Physical disabilities, Sensory impairment","1-9 beds","More than 5 years but less than 8 years","Good","Good","Good","Good","Good","Achieve Together Limited","1-116992858","10/1/2010 12:00:00 AM","15","Organisation","03153442","266","More than 50 locations","1436","0.16","65","42.00%","BRAND Achieve Together","BD519","506","More than 50 locations","2573","0.29","76","49.00%"
"4,5,7 The Sycamores","1-23645782635","","Locking, Lisa Marie, Mrs","10013063872","","www.cygnethealth.co.uk","Derbyshire","East Midlands (ADASS Region)","Residential social care","Care home service without nursing","6","2025-06-18","","N","","6/18/2025 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Learning Disabilities or autistic spectrum disorder","1-9 beds","","","","","","","Cygnet Behavioural Health Limited","1-116865881","10/1/2010 12:00:00 AM","15","Organisation","03977299","11","11 - 20 locations","57","0.01","6","4.00%","BRAND Cygnet Health Care","BD205","93","More than 50 locations","971","0.11","38","25.00%"
"4-5 Healthcare","1-18446140565","","Stevenson, Kamesha Natasha, Ms","100091582531","01702680585","","Southend-on-Sea","East (ADASS Region)","Community based adult social care services","Domiciliary care service","0","2024-02-15","","N","","2/15/2024 12:00:00 AM","Caring for adults over 65 yrs, Caring for adults under 65 yrs, Dementia, Physical disabilities, Sensory impairment","","More than 1 year but less than 3 years","","","","","","4-5 Healthcare Ltd","1-15977416731","2/15/2024 12:00:00 AM","2","Organisation","14386842","1","1 location","0","0","1","1.00%","","","","","","0","",""
"40 Mashiters Walk","1-3235015067","","Akpan, Sandra Omotolani Muchaneta, Mrs","100021386200","01708744901","","Havering","Greater London (ADASS Region)","Community based adult social care services","Supported living service","0","2017-01-26","","N","Good","1/26/2017 12:00:00 AM","Learning Disabilities or autistic spectrum disorder, Mental health conditions","","More than 8 years","Good","Good","Good","Good","Good","Shiloz Services Limited","1-2920435238","1/26/2017 12:00:00 AM","9","Organisation","09013679","2","2 - 5 locations","0","0","2","1.00%","","","","","","0","",""
