Name,Address 1,Address 2,Town/City,County,Postcode,Phone number,CQC Provider ID (for office use only),CQC Location ID (for office use only),Website,Local authority,Region,Report publication date,URL,Also known as,Specialisms/services,Service types,Provider name
"Butterfly Care (Bath, Wiltshire and Somerset)",Wessex House,40 Station Road,Westbury,Wiltshire,BA13 3JN,01373825951,1-101655626,1-633698700,https://www.butterflycare.co.uk,Wiltshire,South West,2019-07-09T00:00:00Z,https://www.cqc.org.uk/location/1-633698700,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,"Butterfly Care (Bath, Wiltshire and Somerset)"
"CCT Community Enablement Team LTD, Enablement Care",Brook Street,,Sutton-in-ashfield,,NG17 1ES,01623397750,1-2146828899,1-6115676474,,Nottinghamshire,East Midlands,2023-08-09T00:00:00Z,https://www.cqc.org.uk/location/1-6115676474,,"Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Residential homes,CCT Community Enablement Team Ltd
"CT Clinics, Division of The City and Travel Clinic Ltd",21 Knightsbridge,,London,,SW1X 7LY,,1-12898575538,1-13440598962,,Westminster,London,,https://www.cqc.org.uk/location/1-13440598962,The City & Travel Clinic,"Caring for adults under 65 yrs,Caring for adults over 65 yrs",Diagnosis/screening,THE CITY & TRAVEL LTD
"Cambridge Dermatology Clinic, Trumpington",Anstey Hall,"Maris Lane, Trumpington",Cambridge,,CB2 9LN,,1-14157940671,1-15264037437,,Cambridgeshire,East,,https://www.cqc.org.uk/location/1-15264037437,,Services for everyone,"Doctors/GPs,Doctors/GPs",Cambridge Dermatology Ltd
"Camrose, Gillies and Hackwood Partnership",Sullivan Road,,Basingstoke,Hampshire,RG22 4EH,01256479747,1-129963048,1-10472984618,,Hampshire,South East,2025-05-22T12:04:44Z,https://www.cqc.org.uk/location/1-10472984618,,Services for everyone,"Doctors/GPs,Doctors/GPs",The Practice Surgeries Limited
"Care 4 Sure Stourbridge, Hagley and Halesowen Ltd","Office 2, Centre Court",Vine Lane,Halesowen,,B63 3EB,01384906171,1-23125829745,,https://www.surecare.co.uk/stourbridge,Dudley,West Midlands,,https://www.cqc.org.uk/provider/1-23125829745,,Personal care,Organisation,"Care 4 Sure Stourbridge, Hagley and Halesowen Ltd"
"Care Ones, Recruitment and Training Ltd",T M S House,Cray Avenue,Orpington,,BR5 3QB,07885995861,1-21275256140,,https://www.cqc.org.uk/,Bromley,London,,https://www.cqc.org.uk/provider/1-21275256140,,Personal care,Organisation,"Care Ones, Recruitment and Training Ltd"
"Care Ones, Recruitment and Training Ltd",T M S House,Cray Avenue,Orpington,,BR5 3QB,07885995861,1-21275256140,1-22152383352,,Bromley,London,,https://www.cqc.org.uk/location/1-22152383352,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs",Homecare agencies,"Care Ones, Recruitment and Training Ltd"
"Care at Home Services (South East) Limited – Bexhill, Hastings and Rother",1 Cooden Sea Road,Little Common,Bexhill On Sea,East Sussex,TN39 4SJ,01424848088,1-101721009,1-120276314,https://www.careathomeservices.co.uk,East Sussex,South East,2019-11-05T00:00:00Z,https://www.cqc.org.uk/location/1-120276314,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Care at Home Services (South East) Limited
"Care at Home Services (South East) Limited – Canterbury, Herne Bay and Whitstable",Kent Enterprise House,2b The Links,Herne Bay,Kent,CT6 7GQ,01277375706,1-101721009,1-608368256,https://www.careathomeservices.co.uk,Kent,South East,2023-06-24T00:00:00Z,https://www.cqc.org.uk/location/1-608368256,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Care at Home Services (South East) Limited
"Care at Home Services (South East) Limited – Eastbourne, Hailsham and the Weald",1 Town House Garden,Market Street,Hailsham,,BN27 2AE,01323431314,1-101721009,1-3210845221,https://www.careathomeservices.co.uk,East Sussex,South East,2018-04-11T00:00:00Z,https://www.cqc.org.uk/location/1-3210845221,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Care at Home Services (South East) Limited
"Care at Home Services (South East) Limited – Tonbridge, Tunbridge Wells and South West Kent",Unit A,"Oak House, The Avenue",Tunbridge Wells,,TN2 3FX,01892510844,1-101721009,1-9304774101,,Kent,South East,2022-06-18T00:00:00Z,https://www.cqc.org.uk/location/1-9304774101,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Care at Home Services (South East) Limited
"CareYourWay Weybridge, Egham & Cobham","Office 107, Meadlake Place",Thorpe Lea Road,Egham,,TW20 8HE,01753418970,1-16975086644,1-18484154655,https://www.careyourway.co.uk/area/slough,Surrey,South East,,https://www.cqc.org.uk/location/1-18484154655,,"Caring for adults under 65 yrs,Dementia,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Myra Services Ltd
"Caremark Doncaster, Bassetlaw and West Lindsey","12 Sea King Drive, Fountain Court","Hayfield Lane, Auckley",Doncaster,,DN9 3QR,01302201392,1-13942080830,1-14336699500,https://www.caremark.co.uk/locations/doncaster,Doncaster,Yorkshire & Humberside,2025-06-27T08:02:19Z,https://www.cqc.org.uk/location/1-14336699500,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Springboard Helpers Limited
"Caremark Epsom & Ewell, Reigate and Banstead",20 Ewell Road,Cheam,Sutton,,SM3 8BU,01372417439,1-17715479736,1-20634177481,https://www.caremark.co.uk/epsom,Sutton,London,,https://www.cqc.org.uk/location/1-20634177481,,"Caring for adults under 65 yrs,Caring for adults over 65 yrs",Homecare agencies,Care Epsom & Reigate Limited
"Caremark Northampton, Kettering and Wellingborough","Office No. 509, KG House",Kingsfield Way,Northampton,,NN5 7QS,01604801798,1-14213550262,1-14213550279,,West Northamptonshire,East Midlands,2024-12-13T07:29:25Z,https://www.cqc.org.uk/location/1-14213550279,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Substance misuse problems,Physical disabilities","Homecare agencies,Supported living",Uber and Beyond Ltd
"Caremark Tunbridge Wells, Tonbridge and Malling","Office 3, Godfreys Yard","Baldwins Lane, North Farm Road",Tunbridge Wells,Kent,TN2 3DH,01892576377,1-2766716094,1-2788660282,,Kent,South East,2025-01-31T09:00:00Z,https://www.cqc.org.uk/location/1-2788660282,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Sorg Limited
"Carers Trust Epping, Havering, Harlow and Redbridge (TuVida)",Living Well Resource Centre,372 Chadwell Heath Lane,Romford,,RM6 4YG,01708757242,1-119231049,1-11148100296,https://www.tuvida.org,Redbridge,London,2022-12-07T00:00:00Z,https://www.cqc.org.uk/location/1-11148100296,,"Caring for children (0 - 18yrs),Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,East Midlands Crossroads-Caring For Carers
"Carers Trust, Heart Of England",12a Coventry Canal Basin,St. Nicholas Street,Coventry,,CV1 4LY,02476101040,1-119227569,,https://www.crossroadscw.org.uk,Coventry,West Midlands,,https://www.cqc.org.uk/provider/1-119227569,,Personal care,Organisation,"Carers Trust, Heart Of England"
"Caresta Limited - Office 8, St Erth Business Park","Rose an-gr use, Canonstown",,Hayle,,TR27 6LP,01736333177,1-101680723,1-121470165,,Cornwall,South West,2018-07-12T00:00:00Z,https://www.cqc.org.uk/location/1-121470165,,"Dementia,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Caresta Limited
"Carr, Peterson and Towlerton",Lower Kirklington Road,,Southwell,Nottinghamshire,NG25 0DN,01636814248,1-2702518796,,,Nottinghamshire,East Midlands,,https://www.cqc.org.uk/provider/1-2702518796,Minster Dental Centre,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Carr, Peterson and Towlerton"
"Castle House, Dawson Road",Castle House,Dawson Road,Milton Keynes,,MK1 1QY,01908915091,1-6505248657,1-6910648278,https://www.asedacare.com,Milton Keynes,South East,2023-03-25T00:00:00Z,https://www.cqc.org.uk/location/1-6910648278,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Aseda Care LTD
"Central Medical Services, East Midlands","Unit 2 ,Park Place, Robey Close",Linby,Nottingham,,NG15 8AA,01157149998,1-696057630,,https://www.centralmedicalservices.co.uk,Nottinghamshire,East Midlands,,https://www.cqc.org.uk/provider/1-696057630,,"Transport services, triage and medical advice provided remotely,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Organisation,"Central Medical Services, East Midlands"
"Change, Grow, Live","North Suite, 1st Floor",1 Jubilee Street,Brighton,,BN1 1GE,01273677019,1-125892604,,,Brighton and Hove,South East,2019-08-08T00:00:00Z,https://www.cqc.org.uk/provider/1-125892604,,"Personal care,Accommodation for persons who require treatment for substance misuse,Treatment of disease, disorder or injury,Diagnostic and screening procedures",Organisation,"Change, Grow, Live"
"Channel Court, Sugar Lookout",Channel Court,8 Hill Road,Clevedon,,BS21 7NE,07954430246,1-13780517844,1-17594351573,https://www.inspire-together.com,North Somerset,South West,2025-07-08T19:58:35Z,https://www.cqc.org.uk/location/1-17594351573,,"Caring for children (0 - 18yrs),Caring for adults under 65 yrs,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs",Homecare agencies,Inspire Together Ltd
"Chear, Shepreth",30 Fowlmere Road,Shepreth,Royston,Hertfordshire,SG8 6QS,01763263333,1-695749989,1-757942034,,Cambridgeshire,East,2023-11-10T00:00:00Z,https://www.cqc.org.uk/location/1-757942034,,Caring for children (0 - 18yrs),Diagnosis/screening,Chear Ltd
"Chiltern Medical Clinic, Goring on Thames",1 Thames Court,Goring,Reading,Berkshire,RG8 9AQ,01491873989,1-3558261389,1-3656863188,https://www.chilternmedical.co.uk,Oxfordshire,South East,2025-04-22T14:58:14Z,https://www.cqc.org.uk/location/1-3656863188,,Services for everyone,"Doctors/GPs,Doctors/GPs",Medical Skin Clinics Ltd
"Christ the King, Footherley Hall",Footherley Lane,Shenstone,Lichfield,Staffordshire,WS14 0HG,01543480253,1-13943645249,1-14248708910,https://www.sistershospitallers.org,Staffordshire,West Midlands,2025-08-20T16:04:29Z,https://www.cqc.org.uk/location/1-14248708910,,"Sensory impairments,Dementia,Caring for adults over 65 yrs",Residential homes,Sisters Hospitallers of the Sacred Heart of Jesus CIO
"Ciesielska, Grzegorczyk and Butler",21 Connaught Road,,Attleborough,Norfolk,NR17 2BN,01953454216,1-2201848303,,,Norfolk,East,,https://www.cqc.org.uk/provider/1-2201848303,,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Ciesielska, Grzegorczyk and Butler"
"Clarke, Marnitz & Associates",31 Burlington Road,Chiswick,London,,W4 4BH,02089943088,1-153008028,,https://www.dentistw4.co.uk,Hounslow,London,,https://www.cqc.org.uk/provider/1-153008028,West London Dental Centres,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Clarke, Marnitz & Associates"
"Community Specialist Services, Southern Hampshire Primary Care Alliance Headquarters (HQ)",35 Pure Offices,1 Port Way,Portsmouth,,PO6 4TY,02392414020,1-4936632991,1-5704489534,https://www.shpca.net,Portsmouth,South East,2021-05-28T00:00:00Z,https://www.cqc.org.uk/location/1-5704489534,,Services for everyone,"Doctors/GPs,Doctors/GPs,Phone/online advice",Southern Hampshire Primary Care Alliance Limited
"Community Supported Living, Lincolnshire",25a High Street,Heckington,Sleaford,,NG34 9RA,,1-101727743,1-9322748829,https://www.makingspace.co.uk,Lincolnshire,East Midlands,2022-02-23T00:00:00Z,https://www.cqc.org.uk/location/1-9322748829,,"Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Supported living,Making Space
"Complete Contemporary Care Triple ""C"" Ltd","Suite 1, Regent business centre",16 to 20 Regent Street,Leeds,,LS2 7QA,07733800660,1-4111445769,1-4207346477,,Leeds,Yorkshire & Humberside,2019-10-15T00:00:00Z,https://www.cqc.org.uk/location/1-4207346477,,"Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,"Complete Contemporary Care. Triple ""C"" Ltd"
"Complete Contemporary Care. Triple ""C"" Ltd","Suite 1, Regent Business Centre",16-20 Regent Street,Leeds,,LS2 7QA,07733800660,1-4111445769,,,Leeds,Yorkshire & Humberside,,https://www.cqc.org.uk/provider/1-4111445769,,Personal care,Organisation,"Complete Contemporary Care. Triple ""C"" Ltd"
"Cornwell House, Beehive Care",Cornwell House,"23-25 Beehive Lane, Ferring",Worthing,West Sussex,BN12 5NN,01903240313,1-101613383,1-108389651,https://www.abbeyfieldferring.org.uk/,West Sussex,South East,2019-06-05T00:00:00Z,https://www.cqc.org.uk/location/1-108389651,,Caring for adults over 65 yrs,Residential homes,Beehive Care Group
"Council House, Derby",Primary Healthcare Derby,"The Council House, Corporation Street",Derby,,DE1 2FT,,1-14589938169,1-17926628521,,Derby,East Midlands,,https://www.cqc.org.uk/location/1-17926628521,,Services for everyone,"Community services - Healthcare,Doctors/GPs,Doctors/GPs,Mobile doctors",Primary Healthcare Derby Limited
"County Offices, Newland, Lincoln",County Offices,Newland,Lincoln,Lincolnshire,LN1 1YL,01522552222,1-3952644634,1-4179463103,https://www.lincolnshire.gov.uk,Lincolnshire,East Midlands,2019-05-17T00:00:00Z,https://www.cqc.org.uk/location/1-4179463103,,"Caring for children (0 - 18yrs),Caring for adults under 65 yrs",Community services - Healthcare,Lincolnshire County Council
"Creative Support - 2, 3 and 4 Nightingale Close","2, 3 and 4 Nightingale Close",,Witham,,CM8 1AP,01612360829,1-101648755,1-19160340402,,Essex,East,2021-08-04T00:00:00Z,https://www.cqc.org.uk/location/1-19160340402,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Caring for adults over 65 yrs,Physical disabilities",Residential homes,Creative Support Limited
"Crossroads Care North West: Hyndburn, Chorley & South Ribble","Office 3, The Old Tannery",Eastgate,Accrington,Lancashire,BB5 6PW,01257230698,1-1834775170,1-2953876762,https://www.crossroadscarenorthwest.org.uk,Lancashire,North West,2018-01-10T00:00:00Z,https://www.cqc.org.uk/location/1-2953876762,,"Caring for children (0 - 18yrs),Sensory impairments,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Substance misuse problems,Physical disabilities",Homecare agencies,Crossroads Care North West
"Cumbria, Northumberland, Tyne and Wear NHS Foundation Trust",St Nicholas Hospital,"Jubilee Road, Gosforth",Newcastle Upon Tyne,Tyne and Wear,NE3 3XT,01912466800,RX4,,https://www.ntw.nhs.uk,Newcastle upon Tyne,North East,2025-06-17T12:53:30Z,https://www.cqc.org.uk/provider/RX4,,"Personal care,Treatment of disease, disorder or injury,Assessment or medical treatment for persons detained under the 1983 Act,Diagnostic and screening procedures",NHS Body,"Cumbria, Northumberland, Tyne and Wear NHS Foundation Trust"
"Curant Care Suite 6,Stone Cross Barn",6 Stone Cross Farm Industrial Park,"Lewes Road, Laughton",Lewes,,BN8 6BN,,1-8880815968,1-19320618004,,East Sussex,South East,,https://www.cqc.org.uk/location/1-19320618004,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Mental health conditions,Caring for adults over 65 yrs,Physical disabilities",Homecare agencies,Blossom Healthcare Ltd
"D ""N"" A Care Services Limited",Unit 9,"Westleigh Business Park, Winchester Avenue, Blaby",Leicester,,LE8 4EZ,01162293115,1-13714940378,,,Leicestershire,East Midlands,,https://www.cqc.org.uk/provider/1-13714940378,,Personal care,Organisation,"D ""N"" A Care Services Limited"
"D""N""A Care Services","Unit 9, Westleigh Business Park","Winchester Avenue, Blaby",Leicester,,LE8 4EZ,01162293115,1-13714940378,1-15104304936,,Leicestershire,East Midlands,,https://www.cqc.org.uk/location/1-15104304936,,"Caring for children (0 - 18yrs),Caring for adults under 65 yrs,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs",Homecare agencies,"D ""N"" A Care Services Limited"
"Dale Care - South Tyneside (Homecare, Extra Care)",Unit 408 The Quadrus Centre,"Woodstock Way, Boldon Way, Tyne and Wear, Durham",Boldon Colliery,,NE35 9PF,01917169200,1-101670518,1-15979129615,https://www.dalecare.co.uk,South Tyneside,North East,2025-06-11T09:00:00Z,https://www.cqc.org.uk/location/1-15979129615,,"Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Eating disorders,Physical disabilities","Homecare agencies,Supported housing",Dale Care Limited
"Danielle Hudd, Julian Ashbee, Steven Ashbee",52 Regent Street,,Stonehouse,Gloucestershire,GL10 2AD,01452823139,1-6302323786,,https://www.regencyretirementhome.co.uk,Gloucestershire,South West,,https://www.cqc.org.uk/provider/1-6302323786,Regency Retirement Home,Accommodation for persons who require nursing or personal care,Partnership,"Danielle Hudd, Julian Ashbee, Steven Ashbee"
"Darwen Healthlink, Darwen Health Centre",New Darwen Health Centre,James Street West,Darwen,Lancashire,BB3 1PY,01254226600,1-199782003,1-509161006,,Blackburn with Darwen,North West,2018-05-24T00:00:00Z,https://www.cqc.org.uk/location/1-509161006,Darwen Healthlink,Services for everyone,"Doctors/GPs,Doctors/GPs",Darwen Healthlink
"Davidson, Smith & Associates","Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,01454771530,1-2304385888,,,South Gloucestershire,South West,,https://www.cqc.org.uk/provider/1-2304385888,,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Davidson, Smith & Associates"
"Davidson, Smith & Associates",62 Hollway Road,Stockwood,Bristol,,BS14 8PG,01454771596,1-2304385888,1-2372309585,,"Bristol, City of",South West,,https://www.cqc.org.uk/location/1-2372309585,,Services for everyone,Dentist,"Davidson, Smith & Associates"
"Davinderpal S Kooner, Simran S Kooner and Pritpal S Kooner",61 Lampton Road,,Hounslow,Middlesex,TW3 4JX,02085722076,1-9608171634,,,Hounslow,London,,https://www.cqc.org.uk/provider/1-9608171634,,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Davinderpal S Kooner, Simran S Kooner and Pritpal S Kooner"
"Davis, Coyle, Perry and Bryant","Bupa Dental Care, Vantage Office Park","Old Gloucester Road, Hambrook",Bristol,,BS16 1GW,01454771530,1-3886810941,,,South Gloucestershire,South West,,https://www.cqc.org.uk/provider/1-3886810941,,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Davis, Coyle, Perry and Bryant"
"Dawud Ahmad, Amar Shah & Charles Cunnington",30 Ashbourne Road,,Derby,,DE22 3AD,01332362211,1-6638115136,,,Derby,East Midlands,,https://www.cqc.org.uk/provider/1-6638115136,,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dawud Ahmad, Amar Shah & Charles Cunnington"
"Dehal, Kavanagh, Kavanagh",111 Hewell Road,Barnt Green,Birmingham,West Midlands,B45 8NW,07779272289,1-5398836031,,,Worcestershire,West Midlands,,https://www.cqc.org.uk/provider/1-5398836031,,"Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dehal, Kavanagh, Kavanagh"
"Demelza Hospice Care for Children, East Sussex",150A Bexhill Road,,St. Leonards-on-sea,,TN38 8BL,01323446461,1-101635546,1-9220478498,https://www.demelza.org.uk,East Sussex,South East,,https://www.cqc.org.uk/location/1-9220478498,,Caring for children (0 - 18yrs),Home hospice care,Demelza House Childrens Hospice
"Demelza, Hospice Care for Children - Kent",Rook Lane,Bobbing,Sittingbourne,Kent,ME9 8DZ,01795845200,1-101635546,1-119107818,https://www.demelza.org.uk,Kent,South East,2016-11-01T00:00:00Z,https://www.cqc.org.uk/location/1-119107818,,Caring for children (0 - 18yrs),Hospice,Demelza House Childrens Hospice
"Demelza, Hospice Care for Children - SE London",5 Wensley Close,Eltham,London,,SE9 5AB,02088599800,1-101635546,1-119107844,https://www.demelza.org.uk,Greenwich,London,2024-10-11T13:00:00Z,https://www.cqc.org.uk/location/1-119107844,,Caring for children (0 - 18yrs),Hospice,Demelza House Childrens Hospice
"Dental Clinic, Nash House",17 Portman Road,,Ipswich,,IP1 2BP,03005556667,1-191589944,1-20243455347,,Suffolk,East,,https://www.cqc.org.uk/location/1-20243455347,,Services for everyone,Dentist,Community Dental Services CIC
"Dental Clinic, St John's Health Centre",Lightowler Road,,Halifax,West Yorkshire,HX1 5ND,,1-256729774,1-285686345,,Calderdale,Yorkshire & Humberside,2013-04-13T00:00:00Z,https://www.cqc.org.uk/location/1-285686345,,Services for everyone,Dentist,Locala Community Partnerships C.I.C.
"Dental Clinic, Todmorden Health Centre",Lower George Street,Off Halifax Road,Todmorden,West Yorkshire,OL14 5QG,01706811123,1-256729774,1-285715613,,Calderdale,Yorkshire & Humberside,2017-02-09T00:00:00Z,https://www.cqc.org.uk/location/1-285715613,,Services for everyone,Dentist,Locala Community Partnerships C.I.C.
"Dental Department, Canterbury Health Centre",26 Old Dover Road,,Canterbury,Kent,CT1 3JH,,RYY,RYYX3,,Kent,South East,,https://www.cqc.org.uk/location/RYYX3,,Services for everyone,Dentist,Kent Community Health NHS Foundation Trust
"Dental Department, Colchester Primary Care Centre",160 Turner Road,,Colchester,Essex,CO4 5JR,01206286568,1-191589944,1-3042729618,,Essex,East,,https://www.cqc.org.uk/location/1-3042729618,,"Caring for children (0 - 18yrs),Sensory impairments,Caring for adults under 65 yrs,Dementia,Learning disabilities,Mental health conditions,Caring for adults over 65 yrs,Substance misuse problems,Physical disabilities",Dentist,Community Dental Services CIC
"Dental Department, HMP Sheppey Cluster - Standford",Church Road,Eastchuch,Sheerness,Kent,ME12 4DZ,,RYY,RYYY4,,Kent,South East,2016-04-28T00:00:00Z,https://www.cqc.org.uk/location/RYYY4,,Services for everyone,Dentist,Kent Community Health NHS Foundation Trust
"Dental Surgery, 20 The Avenue, Gosport",20 The Avenue,Alverstoke,Gosport,Hampshire,PO12 2JR,,1-255790081,1-257073350,https://www.avenuedentalcare.co.uk,Hampshire,South East,2019-07-05T00:00:00Z,https://www.cqc.org.uk/location/1-257073350,,Services for everyone,Dentist,Dr. Adriana Lackova
"Dental Surgery, Marsden Road Health Centre",Marsden Road,,South Shields,Tyne And Wear,NE34 6RE,01914555652,1-4031409686,1-4234505759,,South Tyneside,North East,,https://www.cqc.org.uk/location/1-4234505759,,Services for everyone,Dentist,Dr Nazia Noor Rahman
"Derbyshire, Leicestershire and Rutland Air Ambulance Nottingham Base",Fosse Way,Widmerpool,Nottingham,,NG12 5PS,,1-191582666,1-12192454414,,Nottinghamshire,East Midlands,2023-11-03T00:00:00Z,https://www.cqc.org.uk/location/1-12192454414,,Services for everyone,Ambulances,The Air Ambulance Service
"Dermatology Consulting:Skin, Laser and Cosmetic Clinic",6 Frant Road,,Tunbridge Wells,Kent,TN2 5SE,,1-320890589,1-360751218,https://www.dermatologyconsulting.co.uk/,Kent,South East,2019-10-11T00:00:00Z,https://www.cqc.org.uk/location/1-360751218,,"Caring for children (0 - 18yrs),Services for everyone","Doctors/GPs,Doctors/GPs",Dermatology Consulting Ltd
"Diagnostic Healthcare Limited, Sharston",353 Altrincham Road,,Manchester,Lancashire,M22 4BJ,0161929567,1-229859550,1-8570927202,https://www.dhc.uk.com,Manchester,North West,2023-04-19T00:00:00Z,https://www.cqc.org.uk/location/1-8570927202,,"Caring for children (0 - 18yrs),Caring for adults under 65 yrs,Caring for adults over 65 yrs",Diagnosis/screening,Diagnostic Healthcare Limited
"Dimensions Beds, Bucks, Cambs and Luton Domiciliary Care Office","Suite 2-14, Margaret Powell House",401 Midsummer Boulevard,Milton Keynes,,MK9 3BN,07384215578,1-349152381,1-11634129953,https://www.dimensions-uk.org,Milton Keynes,South East,2023-03-07T00:00:00Z,https://www.cqc.org.uk/location/1-11634129953,,"Caring for adults under 65 yrs,Learning disabilities,Caring for adults over 65 yrs","Homecare agencies,Supported living",Dimensions (UK) Limited
"Doctors Billings, Hughes and Nyenyezi",New Barn Close Surgery,Station Road,Broadway,,WR12 7DE,01386853651,1-199766519,,https://www.barnclose.co.uk,Worcestershire,West Midlands,,https://www.cqc.org.uk/provider/1-199766519,,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Doctors Billings, Hughes and Nyenyezi"
"Doctors Coskery, Maher & Oliver",Wincobank Medical Centre,205 Tyler Street,Sheffield,South Yorkshire,S9 1DJ,01142426428,1-199810451,,https://www.wincobankmedicalcentre.co.uk,Sheffield,Yorkshire & Humberside,,https://www.cqc.org.uk/provider/1-199810451,Wincobank Medical Centre,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Doctors Coskery, Maher & Oliver"
"Doctors Coskery, Maher & Oliver",Wincobank Medical Centre,205 Tyler Street,Sheffield,South Yorkshire,S9 1DJ,01142426428,1-199810451,1-544574177,https://www.wincobankmedicalcentre.co.uk,Sheffield,Yorkshire & Humberside,2016-04-25T00:00:00Z,https://www.cqc.org.uk/location/1-544574177,,Services for everyone,"Doctors/GPs,Doctors/GPs","Doctors Coskery, Maher & Oliver"
"Doctors Hardy, Hughes, Harvey and Roberts",Hungerford Medical Centre,,Crewe,Cheshire,CW1 5HA,01270275949,1-199777158,1-543095784,,Cheshire East,North West,2023-11-22T00:00:00Z,https://www.cqc.org.uk/location/1-543095784,The Hungerford Medical Centre,Services for everyone,"Doctors/GPs,Doctors/GPs",Hungerford Medical Centre
"Doctors Quayle, Rajagopal, Payne & Fox",Station Road,Seghill,Cramlington,Northumberland,NE23 7EF,01912370643,1-199688656,,https://www.netherfieldhousesurgery.co.uk,Northumberland,North East,,https://www.cqc.org.uk/provider/1-199688656,Netherfield Houes Surgery,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Doctors Quayle, Rajagopal, Payne & Fox"
"Doctors Quayle, Rajagopal, Payne & Fox",Station Road,Seghill,Cramlington,Northumberland,NE23 7EF,01912370643,1-199688656,1-553301670,https://www.netherfieldhousesurgery.co.uk,Northumberland,North East,2019-01-03T00:00:00Z,https://www.cqc.org.uk/location/1-553301670,Netherfield House Surgery,Services for everyone,"Doctors/GPs,Doctors/GPs","Doctors Quayle, Rajagopal, Payne & Fox"
"Dr A Baldwin, & Dr S Koak",Harold Hill Health Centre,"Gooshays Drive, Harold Hill",Romford,Essex,RM3 9SU,01708796906,1-199729032,,https://www.drkakad-bhattandtanna.co.uk,Havering,London,,https://www.cqc.org.uk/provider/1-199729032,Central Park Surgery,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr A Baldwin, & Dr S Koak"
"Dr A M Cole & Partners, Lockswood Surgery",Lockswood Surgery,"Centre Way, Locks Heath",Southampton,Hampshire,SO31 6DX,01489576708,1-199750728,,,Hampshire,South East,,https://www.cqc.org.uk/provider/1-199750728,,"Maternity and midwifery services,Family planning services,Treatment of disease, disorder or injury,Surgical procedures,Diagnostic and screening procedures",Partnership,"Dr A M Cole & Partners, Lockswood Surgery"
